Country ID,Country Name,PA Category,# PAs,Mean area of PAs,Area of largest PA,Name of largest PA,Year of establ. Of largest PA
20,Bangladesh,ALL,42,189.12,2095.88,Sajnakhali,1976
20,Bangladesh,Ib,3,559.34,816.22,Sundarban West,1996
20,Bangladesh,II,15,136.27,1058.7,Sundarban,1984
20,Bangladesh,IV,21,200.72,2095.88,Sajnakhali,1976
20,Bangladesh,VI,3,1.9,3.77,Nagarbari-Mohonganj,2013
21,Barbados,ALL,4,3.77,13.54,Folkstone,1980
21,Barbados,Ia,1,0.52,0.52,Turner Hall Woods,0
21,Barbados,II,2,6.85,13.54,Folkstone,1980
21,Barbados,III,1,0.88,0.88,Harrisons Cave And Welchmans Hall Gully,1962
22,Belarus,ALL,151,120.24,2159.0,Paleski Radyaytsina-Ekalagichny,0
22,Belarus,Ia,4,930.93,2159.0,Paleski Radyaytsina-Ekalagichny,0
22,Belarus,II,6,526.16,884.29,Belowezskaya Pushcha,1939
22,Belarus,III,2,6.92,12.45,Boloto Drozdovskiy mokh,0
22,Belarus,IV,131,74.47,882.74,Nalibokskiy,1960
22,Belarus,V,4,352.43,519.65,Augšdaugava,1990
22,Belarus,VI,4,24.17,56.55,Adutiskio-Guntauninku misku biosferos poligonas,2004
23,Belgium,ALL,1672,9.49,1178.17,Avesnois,1998
23,Belgium,Ib,2,8.79,15.01,Bruch - Pont Misère,2014
23,Belgium,II,4,153.9,305.74,Parc Naturel de l'Our,1965
23,Belgium,IV,1602,5.07,439.17,Westerschelde & Saeftinghe,2010
23,Belgium,V,41,160.78,1178.17,Avesnois,1998
23,Belgium,VI,23,22.63,201.93,openbaar bos Limburg,1990
24,Belize,ALL,98,145.86,1191.59,Mirador - Río Azul,1990
24,Belize,Ia,4,405.11,1191.59,Mirador - Río Azul,1990
24,Belize,II,23,84.03,1073.32,Chiquibul,1991
24,Belize,III,3,116.92,325.81,Río Sarstun,2005
24,Belize,IV,33,195.39,1122.11,General Use Zone,2012
24,Belize,V,1,51.36,51.36,Bacalar Chico,1996
24,Belize,VI,34,114.45,602.88,Columbia River,1954
25,Benin,ALL,13,1765.47,5819.18,W (Benin),1954
25,Benin,II,4,3333.25,5819.18,W (Benin),1954
25,Benin,IV,6,876.28,2346.16,Pama,1955
25,Benin,VI,3,1453.47,1834.89,Pendjari,1980
26,Bermuda,ALL,23,0.06,0.38,South Shore Park Southampton,1986
26,Bermuda,Ia,2,0.15,0.3,Castle Harbour Islands,1986
26,Bermuda,Ib,6,0.02,0.05,Devonshire Marsh (east),1984
26,Bermuda,II,2,0.32,0.38,South Shore Park Southampton,1986
26,Bermuda,III,7,0.03,0.08,Pembroke Marsh,1986
26,Bermuda,IV,6,0.02,0.03,Watlington,1984
27,Bhutan,ALL,22,928.7,4939.6,Wangchuck Centennial Park,2008
27,Bhutan,Ia,1,613.03,613.03,Torsa,1993
27,Bhutan,II,6,2251.83,4939.6,Wangchuck Centennial Park,2008
27,Bhutan,IV,7,515.17,1528.7,Bumdeling,1995
27,Bhutan,VI,8,337.65,939.1,Biological Corridor 8,1999
28,Bolivia,ALL,23,3130.8,27776.92,De la Vicuña,1993
28,Bolivia,Ia,1,6195.71,6195.71,Reserva Biológica Do Guaporé,1982
